MEDIDAS	TIME_PERIOD	TERRITORIO	SEXO	OBS_VALUE	CONFIDENCIALIDAD_OBSERVACION	NOTAS_OBSERVACION	ESTADO_OBSERVACION	ESTADO_OBSERVACION_CODE
Población. Proporción	2019	Arucas	Hombres	1.78				
Población	2018	Arucas	Hombres	18735				
Población. Variación anual	2018	Arucas	Hombres	157				
Población. Tasa de variación anual	2018	Arucas	Hombres	0.85				
Población. Proporción	2018	Arucas	Hombres	1.78				
Población	2017	Arucas	Hombres	18578				
Población. Variación anual	2017	Arucas	Hombres	22				
Población. Tasa de variación anual	2017	Arucas	Hombres	0.12				
Población. Proporción	2017	Arucas	Hombres	1.78				
Población	2016	Arucas	Hombres	18556				
Población. Variación anual	2016	Arucas	Hombres	108				
Población. Tasa de variación anual	2016	Arucas	Hombres	0.59				
Población. Proporción	2016	Arucas	Hombres	1.78				
Población	2015	Arucas	Hombres	18448				
Población. Variación anual	2015	Arucas	Hombres	-41				
Población. Tasa de variación anual	2015	Arucas	Hombres	-0.22				
Población. Proporción	2015	Arucas	Hombres	1.77				
Población	2014	Arucas	Hombres	18489				
Población. Variación anual	2014	Arucas	Hombres	107				
Población. Tasa de variación anual	2014	Arucas	Hombres	0.58				
Población. Proporción	2014	Arucas	Hombres	1.77				
Población	2013	Arucas	Hombres	18382				
Población. Variación anual	2013	Arucas	Hombres	8				
Población. Tasa de variación anual	2013	Arucas	Hombres	0.04				
Población. Proporción	2013	Arucas	Hombres	1.74				
Población	2012	Arucas	Hombres	18374				
Población. Variación anual	2012	Arucas	Hombres	-5				
Población. Tasa de variación anual	2012	Arucas	Hombres	-0.03				
Población. Proporción	2012	Arucas	Hombres	1.74				
Población	2011	Arucas	Hombres	18379				
Población. Variación anual	2011	Arucas	Hombres	18				
Población. Tasa de variación anual	2011	Arucas	Hombres	0.1				
Población. Proporción	2011	Arucas	Hombres	1.73				
Población	2010	Arucas	Hombres	18361				
Población. Variación anual	2010	Arucas	Hombres	202				
Población. Tasa de variación anual	2010	Arucas	Hombres	1.11				
Población. Proporción	2010	Arucas	Hombres	1.73				
Población	2009	Arucas	Hombres	18159				
Población. Variación anual	2009	Arucas	Hombres	330				
Población. Tasa de variación anual	2009	Arucas	Hombres	1.85				
Población. Proporción	2009	Arucas	Hombres	1.73				
Población	2008	Arucas	Hombres	17829				
Población. Variación anual	2008	Arucas	Hombres	114				
Población. Tasa de variación anual	2008	Arucas	Hombres	0.64				
Población. Proporción	2008	Arucas	Hombres	1.71				
Población	2007	Arucas	Hombres	17715				
Población. Variación anual	2007	Arucas	Hombres	190				
Población. Tasa de variación anual	2007	Arucas	Hombres	1.08				
Población. Proporción	2007	Arucas	Hombres	1.74				
Población	2006	Arucas	Hombres	17525				
Población. Variación anual	2006	Arucas	Hombres	299				
Población. Tasa de variación anual	2006	Arucas	Hombres	1.74				
Población. Proporción	2006	Arucas	Hombres	1.75				
Población	2005	Arucas	Hombres	17226				
Población. Variación anual	2005	Arucas	Hombres	268				
Población. Tasa de variación anual	2005	Arucas	Hombres	1.58				
Población. Proporción	2005	Arucas	Hombres	1.74				
Población	2004	Arucas	Hombres	16958				
Población. Variación anual	2004	Arucas	Hombres	155				
Población. Tasa de variación anual	2004	Arucas	Hombres	0.92				
Población. Proporción	2004	Arucas	Hombres	1.77				
Población	2003	Arucas	Hombres	16803				
Población. Variación anual	2003	Arucas	Hombres	237				
Población. Tasa de variación anual	2003	Arucas	Hombres	1.43				
Población. Proporción	2003	Arucas	Hombres	1.77				
Población	2002	Arucas	Hombres	16566				
Población. Variación anual	2002	Arucas	Hombres	209				
Población. Tasa de variación anual	2002	Arucas	Hombres	1.28				
Población. Proporción	2002	Arucas	Hombres	1.79				
Población	2001	Arucas	Hombres	16357				
Población. Variación anual	2001	Arucas	Hombres	343				
Población. Tasa de variación anual	2001	Arucas	Hombres	2.14				
Población. Proporción	2001	Arucas	Hombres	1.84				
Población	2000	Arucas	Hombres	16014				
Población. Variación anual	2000	Arucas	Hombres	395				
Población. Tasa de variación anual	2000	Arucas	Hombres	2.53				
Población. Proporción	2000	Arucas	Hombres	1.87				
Población	1999	Arucas	Hombres	15619				
Población. Variación anual	1999	Arucas	Hombres	378				
Población. Tasa de variación anual	1999	Arucas	Hombres	2.48				
Población. Proporción	1999	Arucas	Hombres	1.88				
Población	1998	Arucas	Hombres	15241				
Población. Variación anual	1998	Arucas	Hombres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Arucas	Hombres				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Arucas	Hombres	1.89				
Población	1996	Arucas	Hombres	14991				
Población. Variación anual	1996	Arucas	Hombres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Arucas	Hombres				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Arucas	Hombres	1.88				
Población	2021	Arucas	Mujeres	19380				
Población. Variación anual	2021	Arucas	Mujeres	123				
Población. Tasa de variación anual	2021	Arucas	Mujeres	0.64				
Población. Proporción	2021	Arucas	Mujeres	1.76				
Población	2020	Arucas	Mujeres	19257				
Población. Variación anual	2020	Arucas	Mujeres	119				
Población. Tasa de variación anual	2020	Arucas	Mujeres	0.62				
Población. Proporción	2020	Arucas	Mujeres	1.75				
Población	2019	Arucas	Mujeres	19138				
Población. Variación anual	2019	Arucas	Mujeres	182				
Población. Tasa de variación anual	2019	Arucas	Mujeres	0.96				
Población. Proporción	2019	Arucas	Mujeres	1.76				
Población	2018	Arucas	Mujeres	18956				
Población. Variación anual	2018	Arucas	Mujeres	167				
Población. Tasa de variación anual	2018	Arucas	Mujeres	0.89				
Población. Proporción	2018	Arucas	Mujeres	1.77				
Población	2017	Arucas	Mujeres	18789				
Población. Variación anual	2017	Arucas	Mujeres	46				
Población. Tasa de variación anual	2017	Arucas	Mujeres	0.25				
Población. Proporción	2017	Arucas	Mujeres	1.77				
Población	2016	Arucas	Mujeres	18743				
Población. Variación anual	2016	Arucas	Mujeres	137				
Población. Tasa de variación anual	2016	Arucas	Mujeres	0.74				
Población. Proporción	2016	Arucas	Mujeres	1.77				
Población	2015	Arucas	Mujeres	18606				
Población. Variación anual	2015	Arucas	Mujeres	39				
Población. Tasa de variación anual	2015	Arucas	Mujeres	0.21				
Población. Proporción	2015	Arucas	Mujeres	1.76				
Población	2014	Arucas	Mujeres	18567				
Población. Variación anual	2014	Arucas	Mujeres	97				
Población. Tasa de variación anual	2014	Arucas	Mujeres	0.53				
Población. Proporción	2014	Arucas	Mujeres	1.75				
Población	2013	Arucas	Mujeres	18470				
Población. Variación anual	2013	Arucas	Mujeres	47				
Población. Tasa de variación anual	2013	Arucas	Mujeres	0.26				
Población. Proporción	2013	Arucas	Mujeres	1.74				
Población	2012	Arucas	Mujeres	18423				
Población. Variación anual	2012	Arucas	Mujeres	-70				
Población. Tasa de variación anual	2012	Arucas	Mujeres	-0.38				
Población. Proporción	2012	Arucas	Mujeres	1.73				
Población	2011	Arucas	Mujeres	18493				
Población. Variación anual	2011	Arucas	Mujeres	109				
Población. Tasa de variación anual	2011	Arucas	Mujeres	0.59				
Población. Proporción	2011	Arucas	Mujeres	1.74				
Población	2010	Arucas	Mujeres	18384				
Población. Variación anual	2010	Arucas	Mujeres	284				
Población. Tasa de variación anual	2010	Arucas	Mujeres	1.57				
Población. Proporción	2010	Arucas	Mujeres	1.73				
Población	2009	Arucas	Mujeres	18100				
Población. Variación anual	2009	Arucas	Mujeres	387				
Población. Tasa de variación anual	2009	Arucas	Mujeres	2.18				
Población. Proporción	2009	Arucas	Mujeres	1.72				
Población	2008	Arucas	Mujeres	17713				
Población. Variación anual	2008	Arucas	Mujeres	148				
Población. Tasa de variación anual	2008	Arucas	Mujeres	0.84				
Población. Proporción	2008	Arucas	Mujeres	1.71				
Población	2007	Arucas	Mujeres	17565				
Población. Variación anual	2007	Arucas	Mujeres	216				
Población. Tasa de variación anual	2007	Arucas	Mujeres	1.25				
Población. Proporción	2007	Arucas	Mujeres	1.74				
Población	2006	Arucas	Mujeres	17349				
Población. Variación anual	2006	Arucas	Mujeres	330				
Población. Tasa de variación anual	2006	Arucas	Mujeres	1.94				
Población. Proporción	2006	Arucas	Mujeres	1.74				
Población	2005	Arucas	Mujeres	17019				
Población. Variación anual	2005	Arucas	Mujeres	276				
Población. Tasa de variación anual	2005	Arucas	Mujeres	1.65				
Población. Proporción	2005	Arucas	Mujeres	1.74				
Población	2004	Arucas	Mujeres	16743				
Población. Variación anual	2004	Arucas	Mujeres	97				
Población. Tasa de variación anual	2004	Arucas	Mujeres	0.58				
Población. Proporción	2004	Arucas	Mujeres	1.75				
Población	2003	Arucas	Mujeres	16646				
Población. Variación anual	2003	Arucas	Mujeres	295				
Población. Tasa de variación anual	2003	Arucas	Mujeres	1.8				
Población. Proporción	2003	Arucas	Mujeres	1.76				
Población	2002	Arucas	Mujeres	16351				
Población. Variación anual	2002	Arucas	Mujeres	166				
Población. Tasa de variación anual	2002	Arucas	Mujeres	1.03				
Población. Proporción	2002	Arucas	Mujeres	1.78				
Población	2001	Arucas	Mujeres	16185				
Población. Variación anual	2001	Arucas	Mujeres	226				
Población. Tasa de variación anual	2001	Arucas	Mujeres	1.42				
Población. Proporción	2001	Arucas	Mujeres	1.82				
Población	2000	Arucas	Mujeres	15959				
Población. Variación anual	2000	Arucas	Mujeres	403				
Población. Tasa de variación anual	2000	Arucas	Mujeres	2.59				
Población. Proporción	2000	Arucas	Mujeres	1.85				
Población	1999	Arucas	Mujeres	15556				
Población. Variación anual	1999	Arucas	Mujeres	407				
Población. Tasa de variación anual	1999	Arucas	Mujeres	2.69				
Población. Proporción	1999	Arucas	Mujeres	1.85				
Población	1998	Arucas	Mujeres	15149				
Población. Variación anual	1998	Arucas	Mujeres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Arucas	Mujeres				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Arucas	Mujeres	1.84				
Población	1996	Arucas	Mujeres	14728				
Población. Variación anual	1996	Arucas	Mujeres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Arucas	Mujeres				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Arucas	Mujeres	1.82				
Población	2021	Firgas	Total	7513				
Población. Variación anual	2021	Firgas	Total	75				
Población. Tasa de variación anual	2021	Firgas	Total	1.01				
Población. Proporción	2021	Firgas	Total	0.35				
Población	2020	Firgas	Total	7438				
Población. Variación anual	2020	Firgas	Total	-17				
Población. Tasa de variación anual	2020	Firgas	Total	-0.23				
Población. Proporción	2020	Firgas	Total	0.34				
Población	2019	Firgas	Total	7455				
Población. Variación anual	2019	Firgas	Total	-36				
Población. Tasa de variación anual	2019	Firgas	Total	-0.48				
Población. Proporción	2019	Firgas	Total	0.35				
Población	2018	Firgas	Total	7491				
Población. Variación anual	2018	Firgas	Total	-79				
Población. Tasa de variación anual	2018	Firgas	Total	-1.04				
Población. Proporción	2018	Firgas	Total	0.35				
Población	2017	Firgas	Total	7570				
Población. Variación anual	2017	Firgas	Total	105				
Población. Tasa de variación anual	2017	Firgas	Total	1.41				
Población. Proporción	2017	Firgas	Total	0.36				
Población	2016	Firgas	Total	7465				
Población. Variación anual	2016	Firgas	Total	-21				
Población. Tasa de variación anual	2016	Firgas	Total	-0.28				
Población. Proporción	2016	Firgas	Total	0.36				
Población	2015	Firgas	Total	7486				
Población. Variación anual	2015	Firgas	Total	-132				
Población. Tasa de variación anual	2015	Firgas	Total	-1.73				
Población. Proporción	2015	Firgas	Total	0.36				
Población	2014	Firgas	Total	7618				
Población. Variación anual	2014	Firgas	Total	-10				
Población. Tasa de variación anual	2014	Firgas	Total	-0.13				
Población. Proporción	2014	Firgas	Total	0.36				
Población	2013	Firgas	Total	7628				
Población. Variación anual	2013	Firgas	Total	-20				
Población. Tasa de variación anual	2013	Firgas	Total	-0.26				
Población. Proporción	2013	Firgas	Total	0.36				
Población	2012	Firgas	Total	7648				
Población. Variación anual	2012	Firgas	Total	8				
Población. Tasa de variación anual	2012	Firgas	Total	0.1				
Población. Proporción	2012	Firgas	Total	0.36				
Población	2011	Firgas	Total	7640				
Población. Variación anual	2011	Firgas	Total	76				
Población. Tasa de variación anual	2011	Firgas	Total	1				
Población. Proporción	2011	Firgas	Total	0.36				
Población	2010	Firgas	Total	7564				
Población. Variación anual	2010	Firgas	Total	40				
Población. Tasa de variación anual	2010	Firgas	Total	0.53				
Población. Proporción	2010	Firgas	Total	0.36				
Población	2009	Firgas	Total	7524				
Población. Variación anual	2009	Firgas	Total	100				
Población. Tasa de variación anual	2009	Firgas	Total	1.35				
Población. Proporción	2009	Firgas	Total	0.36				
Población	2008	Firgas	Total	7424				
Población. Variación anual	2008	Firgas	Total	55				
Población. Tasa de variación anual	2008	Firgas	Total	0.75				
Población. Proporción	2008	Firgas	Total	0.36				
Población	2007	Firgas	Total	7369				
Población. Variación anual	2007	Firgas	Total	181				
Población. Tasa de variación anual	2007	Firgas	Total	2.52				
Población. Proporción	2007	Firgas	Total	0.36				
Población	2006	Firgas	Total	7188				
Población. Variación anual	2006	Firgas	Total	9				
Población. Tasa de variación anual	2006	Firgas	Total	0.13				
Población. Proporción	2006	Firgas	Total	0.36				
Población	2005	Firgas	Total	7179				
Población. Variación anual	2005	Firgas	Total	119				
Población. Tasa de variación anual	2005	Firgas	Total	1.69				
Población. Proporción	2005	Firgas	Total	0.36				
Población	2004	Firgas	Total	7060				
Población. Variación anual	2004	Firgas	Total	37				
Población. Tasa de variación anual	2004	Firgas	Total	0.53				
Población. Proporción	2004	Firgas	Total	0.37				
Población	2003	Firgas	Total	7023				
Población. Variación anual	2003	Firgas	Total	96				
Población. Tasa de variación anual	2003	Firgas	Total	1.39				
Población. Proporción	2003	Firgas	Total	0.37				
Población	2002	Firgas	Total	6927				
Población. Variación anual	2002	Firgas	Total	38				
Población. Tasa de variación anual	2002	Firgas	Total	0.55				
Población. Proporción	2002	Firgas	Total	0.38				
Población	2001	Firgas	Total	6889				
Población. Variación anual	2001	Firgas	Total	75				
Población. Tasa de variación anual	2001	Firgas	Total	1.1				
Población. Proporción	2001	Firgas	Total	0.39				
Población	2000	Firgas	Total	6814				
Población. Variación anual	2000	Firgas	Total	67				
Población. Tasa de variación anual	2000	Firgas	Total	0.99				
Población. Proporción	2000	Firgas	Total	0.4				
Población	1999	Firgas	Total	6747				
Población. Variación anual	1999	Firgas	Total	172				
Población. Tasa de variación anual	1999	Firgas	Total	2.62				
Población. Proporción	1999	Firgas	Total	0.4				
Población	1998	Firgas	Total	6575				
Población. Variación anual	1998	Firgas	Total				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Firgas	Total				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Firgas	Total	0.4				
Población	1996	Firgas	Total	6526				
Población. Variación anual	1996	Firgas	Total				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Firgas	Total				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Firgas	Total	0.41				
Población	2021	Firgas	Hombres	3792				
Población. Variación anual	2021	Firgas	Hombres	36				
Población. Tasa de variación anual	2021	Firgas	Hombres	0.96				
Población. Proporción	2021	Firgas	Hombres	0.35				
Población	2020	Firgas	Hombres	3756				
Población. Variación anual	2020	Firgas	Hombres	1				
Población. Tasa de variación anual	2020	Firgas	Hombres	0.03				
Población. Proporción	2020	Firgas	Hombres	0.35				
Población	2019	Firgas	Hombres	3755				
Población. Variación anual	2019	Firgas	Hombres	-11				
Población. Tasa de variación anual	2019	Firgas	Hombres	-0.29				
Población. Proporción	2019	Firgas	Hombres	0.35				
Población	2018	Firgas	Hombres	3766				
Población. Variación anual	2018	Firgas	Hombres	-48				
Población. Tasa de variación anual	2018	Firgas	Hombres	-1.26				
Población. Proporción	2018	Firgas	Hombres	0.36				
Población	2017	Firgas	Hombres	3814				
Población. Variación anual	2017	Firgas	Hombres	53				
Población. Tasa de variación anual	2017	Firgas	Hombres	1.41				
Población. Proporción	2017	Firgas	Hombres	0.36				
Población	2016	Firgas	Hombres	3761				
Población. Variación anual	2016	Firgas	Hombres	-21				
Población. Tasa de variación anual	2016	Firgas	Hombres	-0.56				
Población. Proporción	2016	Firgas	Hombres	0.36				
Población	2015	Firgas	Hombres	3782				
Población. Variación anual	2015	Firgas	Hombres	-78				
Población. Tasa de variación anual	2015	Firgas	Hombres	-2.02				
Población. Proporción	2015	Firgas	Hombres	0.36				
Población	2014	Firgas	Hombres	3860				
Población. Variación anual	2014	Firgas	Hombres	-17				
Población. Tasa de variación anual	2014	Firgas	Hombres	-0.44				
Población. Proporción	2014	Firgas	Hombres	0.37				
Población	2013	Firgas	Hombres	3877				
Población. Variación anual	2013	Firgas	Hombres	-23				
Población. Tasa de variación anual	2013	Firgas	Hombres	-0.59				
Población. Proporción	2013	Firgas	Hombres	0.37				
Población	2012	Firgas	Hombres	3900				
Población. Variación anual	2012	Firgas	Hombres	-4				
Población. Tasa de variación anual	2012	Firgas	Hombres	-0.1				
Población. Proporción	2012	Firgas	Hombres	0.37				
Población	2011	Firgas	Hombres	3904				
Población. Variación anual	2011	Firgas	Hombres	32				
Población. Tasa de variación anual	2011	Firgas	Hombres	0.83				
Población. Proporción	2011	Firgas	Hombres	0.37				
Población	2010	Firgas	Hombres	3872				
Población. Variación anual	2010	Firgas	Hombres	13				
Población. Tasa de variación anual	2010	Firgas	Hombres	0.34				
Población. Proporción	2010	Firgas	Hombres	0.37				
Población	2009	Firgas	Hombres	3859				
Población. Variación anual	2009	Firgas	Hombres	53				
Población. Tasa de variación anual	2009	Firgas	Hombres	1.39				
Población. Proporción	2009	Firgas	Hombres	0.37				
Población	2008	Firgas	Hombres	3806				
Población. Variación anual	2008	Firgas	Hombres	48				
Población. Tasa de variación anual	2008	Firgas	Hombres	1.28				
Población. Proporción	2008	Firgas	Hombres	0.37				
Población	2007	Firgas	Hombres	3758				
Población. Variación anual	2007	Firgas	Hombres	95				
Población. Tasa de variación anual	2007	Firgas	Hombres	2.59				
Población. Proporción	2007	Firgas	Hombres	0.37				
Población	2006	Firgas	Hombres	3663				
Población. Variación anual	2006	Firgas	Hombres	-13				
Población. Tasa de variación anual	2006	Firgas	Hombres	-0.35				
Población. Proporción	2006	Firgas	Hombres	0.37				
Población	2005	Firgas	Hombres	3676				
Población. Variación anual	2005	Firgas	Hombres	73				
Población. Tasa de variación anual	2005	Firgas	Hombres	2.03				
Población. Proporción	2005	Firgas	Hombres	0.37				
Población	2004	Firgas	Hombres	3603				
Población. Variación anual	2004	Firgas	Hombres	23				
Población. Tasa de variación anual	2004	Firgas	Hombres	0.64				
Población. Proporción	2004	Firgas	Hombres	0.38				
Población	2003	Firgas	Hombres	3580				
Población. Variación anual	2003	Firgas	Hombres	63				
Población. Tasa de variación anual	2003	Firgas	Hombres	1.79				
Población. Proporción	2003	Firgas	Hombres	0.38				
Población	2002	Firgas	Hombres	3517				
Población. Variación anual	2002	Firgas	Hombres	13				
Población. Tasa de variación anual	2002	Firgas	Hombres	0.37				
Población. Proporción	2002	Firgas	Hombres	0.38				
Población	2001	Firgas	Hombres	3504				
Población. Variación anual	2001	Firgas	Hombres	50				
Población. Tasa de variación anual	2001	Firgas	Hombres	1.45				
Población. Proporción	2001	Firgas	Hombres	0.39				
Población	2000	Firgas	Hombres	3454				
Población. Variación anual	2000	Firgas	Hombres	64				
Población. Tasa de variación anual	2000	Firgas	Hombres	1.89				
Población. Proporción	2000	Firgas	Hombres	0.4				
Población	1999	Firgas	Hombres	3390				
Población. Variación anual	1999	Firgas	Hombres	83				
Población. Tasa de variación anual	1999	Firgas	Hombres	2.51				
Población. Proporción	1999	Firgas	Hombres	0.41				
Población	1998	Firgas	Hombres	3307				
Población. Variación anual	1998	Firgas	Hombres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Firgas	Hombres				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Firgas	Hombres	0.41				
Población	1996	Firgas	Hombres	3300				
Población. Variación anual	1996	Firgas	Hombres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Firgas	Hombres				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Firgas	Hombres	0.41				
Población	2021	Firgas	Mujeres	3721				
Población. Variación anual	2021	Firgas	Mujeres	39				
Población. Tasa de variación anual	2021	Firgas	Mujeres	1.06				
Población. Proporción	2021	Firgas	Mujeres	0.34				
Población	2020	Firgas	Mujeres	3682				
Población. Variación anual	2020	Firgas	Mujeres	-18				
Población. Tasa de variación anual	2020	Firgas	Mujeres	-0.49				
Población. Proporción	2020	Firgas	Mujeres	0.33				
Población	2019	Firgas	Mujeres	3700				
Población. Variación anual	2019	Firgas	Mujeres	-25				
Población. Tasa de variación anual	2019	Firgas	Mujeres	-0.67				
Población. Proporción	2019	Firgas	Mujeres	0.34				
Población	2018	Firgas	Mujeres	3725				
Población. Variación anual	2018	Firgas	Mujeres	-31				
Población. Tasa de variación anual	2018	Firgas	Mujeres	-0.83				
Población. Proporción	2018	Firgas	Mujeres	0.35				
Población	2017	Firgas	Mujeres	3756				
Población. Variación anual	2017	Firgas	Mujeres	52				
Población. Tasa de variación anual	2017	Firgas	Mujeres	1.4				
Población. Proporción	2017	Firgas	Mujeres	0.35				
Población	2016	Firgas	Mujeres	3704				
Población. Variación anual	2016	Firgas	Mujeres	0				
Población. Tasa de variación anual	2016	Firgas	Mujeres	0				
Población. Proporción	2016	Firgas	Mujeres	0.35				
Población	2015	Firgas	Mujeres	3704				
Población. Variación anual	2015	Firgas	Mujeres	-54				
Población. Tasa de variación anual	2015	Firgas	Mujeres	-1.44				
Población. Proporción	2015	Firgas	Mujeres	0.35				
Población	2014	Firgas	Mujeres	3758				
Población. Variación anual	2014	Firgas	Mujeres	7				
Población. Tasa de variación anual	2014	Firgas	Mujeres	0.19				
Población. Proporción	2014	Firgas	Mujeres	0.36				
Población	2013	Firgas	Mujeres	3751				
Población. Variación anual	2013	Firgas	Mujeres	3				
Población. Tasa de variación anual	2013	Firgas	Mujeres	0.08				
Población. Proporción	2013	Firgas	Mujeres	0.35				
Población	2012	Firgas	Mujeres	3748				
Población. Variación anual	2012	Firgas	Mujeres	12				
Población. Tasa de variación anual	2012	Firgas	Mujeres	0.32				
Población. Proporción	2012	Firgas	Mujeres	0.35				
Población	2011	Firgas	Mujeres	3736				
Población. Variación anual	2011	Firgas	Mujeres	44				
Población. Tasa de variación anual	2011	Firgas	Mujeres	1.19				
Población. Proporción	2011	Firgas	Mujeres	0.35				
Población	2010	Firgas	Mujeres	3692				
Población. Variación anual	2010	Firgas	Mujeres	27				
Población. Tasa de variación anual	2010	Firgas	Mujeres	0.74				
Población. Proporción	2010	Firgas	Mujeres	0.35				
Población	2009	Firgas	Mujeres	3665				
Población. Variación anual	2009	Firgas	Mujeres	47				
Población. Tasa de variación anual	2009	Firgas	Mujeres	1.3				
Población. Proporción	2009	Firgas	Mujeres	0.35				
Población	2008	Firgas	Mujeres	3618				
Población. Variación anual	2008	Firgas	Mujeres	7				
Población. Tasa de variación anual	2008	Firgas	Mujeres	0.19				
Población. Proporción	2008	Firgas	Mujeres	0.35				
Población	2007	Firgas	Mujeres	3611				
Población. Variación anual	2007	Firgas	Mujeres	86				
Población. Tasa de variación anual	2007	Firgas	Mujeres	2.44				
Población. Proporción	2007	Firgas	Mujeres	0.36				
Población	2006	Firgas	Mujeres	3525				
Población. Variación anual	2006	Firgas	Mujeres	22				
Población. Tasa de variación anual	2006	Firgas	Mujeres	0.63				
Población. Proporción	2006	Firgas	Mujeres	0.35				
Población	2005	Firgas	Mujeres	3503				
Población. Variación anual	2005	Firgas	Mujeres	46				
Población. Tasa de variación anual	2005	Firgas	Mujeres	1.33				
Población. Proporción	2005	Firgas	Mujeres	0.36				
Población	2004	Firgas	Mujeres	3457				
Población. Variación anual	2004	Firgas	Mujeres	14				
Población. Tasa de variación anual	2004	Firgas	Mujeres	0.41				
Población. Proporción	2004	Firgas	Mujeres	0.36				
Población	2003	Firgas	Mujeres	3443				
Población. Variación anual	2003	Firgas	Mujeres	33				
Población. Tasa de variación anual	2003	Firgas	Mujeres	0.97				
Población. Proporción	2003	Firgas	Mujeres	0.36				
Población	2002	Firgas	Mujeres	3410				
Población. Variación anual	2002	Firgas	Mujeres	25				
Población. Tasa de variación anual	2002	Firgas	Mujeres	0.74				
Población. Proporción	2002	Firgas	Mujeres	0.37				
Población	2001	Firgas	Mujeres	3385				
Población. Variación anual	2001	Firgas	Mujeres	25				
Población. Tasa de variación anual	2001	Firgas	Mujeres	0.74				
Población. Proporción	2001	Firgas	Mujeres	0.38				
Población	2000	Firgas	Mujeres	3360				
Población. Variación anual	2000	Firgas	Mujeres	3				
Población. Tasa de variación anual	2000	Firgas	Mujeres	0.09				
Población. Proporción	2000	Firgas	Mujeres	0.39				
Población	1999	Firgas	Mujeres	3357				
Población. Variación anual	1999	Firgas	Mujeres	89				
Población. Tasa de variación anual	1999	Firgas	Mujeres	2.72				
Población. Proporción	1999	Firgas	Mujeres	0.4				
Población	1998	Firgas	Mujeres	3268				
Población. Variación anual	1998	Firgas	Mujeres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Firgas	Mujeres				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Firgas	Mujeres	0.4				
Población	1996	Firgas	Mujeres	3226				
Población. Variación anual	1996	Firgas	Mujeres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Firgas	Mujeres				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Firgas	Mujeres	0.4				
Población	2021	Gáldar	Total	24455				
Población. Variación anual	2021	Gáldar	Total	85				
Población. Tasa de variación anual	2021	Gáldar	Total	0.35				
Población. Proporción	2021	Gáldar	Total	1.13				
Población	2020	Gáldar	Total	24370				
Población. Variación anual	2020	Gáldar	Total	128				
Población. Tasa de variación anual	2020	Gáldar	Total	0.53				
Población. Proporción	2020	Gáldar	Total	1.12				
Población	2019	Gáldar	Total	24242				
Población. Variación anual	2019	Gáldar	Total	33				
Población. Tasa de variación anual	2019	Gáldar	Total	0.14				
Población. Proporción	2019	Gáldar	Total	1.13				
Población	2018	Gáldar	Total	24209				
Población. Variación anual	2018	Gáldar	Total	-42				
Población. Tasa de variación anual	2018	Gáldar	Total	-0.17				
Población. Proporción	2018	Gáldar	Total	1.14				
Población	2017	Gáldar	Total	24251				
Población. Variación anual	2017	Gáldar	Total	-45				
Población. Tasa de variación anual	2017	Gáldar	Total	-0.19				
Población. Proporción	2017	Gáldar	Total	1.15				
Población	2016	Gáldar	Total	24296				
Población. Variación anual	2016	Gáldar	Total	61				
Población. Tasa de variación anual	2016	Gáldar	Total	0.25				
Población. Proporción	2016	Gáldar	Total	1.16				
Población	2015	Gáldar	Total	24235				
Población. Variación anual	2015	Gáldar	Total	26				
Población. Tasa de variación anual	2015	Gáldar	Total	0.11				
Población. Proporción	2015	Gáldar	Total	1.15				
Población	2014	Gáldar	Total	24209				
Población. Variación anual	2014	Gáldar	Total	-18				
Población. Tasa de variación anual	2014	Gáldar	Total	-0.07				
Población. Proporción	2014	Gáldar	Total	1.15				
Población	2013	Gáldar	Total	24227				
Población. Variación anual	2013	Gáldar	Total	-92				
Población. Tasa de variación anual	2013	Gáldar	Total	-0.38				
Población. Proporción	2013	Gáldar	Total	1.14				
Población	2012	Gáldar	Total	24319				
Población. Variación anual	2012	Gáldar	Total	-42				
Población. Tasa de variación anual	2012	Gáldar	Total	-0.17				
Población. Proporción	2012	Gáldar	Total	1.15				
Población	2011	Gáldar	Total	24361				
Población. Variación anual	2011	Gáldar	Total	-112				
Población. Tasa de variación anual	2011	Gáldar	Total	-0.46				
Población. Proporción	2011	Gáldar	Total	1.15				
Población	2010	Gáldar	Total	24473				
